Continent,Country,City
Europe,Albania,Tirana
Europe,Andorra,Andorra la Vella
Europe,Armenia,Yerevan
Europe,Austria,Vienna
Europe,Azerbaijan,Baku
Europe,Belarus,Minsk
Europe,Belgium,Brussels
Europe,Bosnia and Herzegovina,Sarajevo
Europe,Bulgaria,Sofia
Europe,Croatia,Zagreb
Europe,Cyprus,Nicosia
Europe,Czech Republic,Prague
Europe,Denmark,Copenhagen
Europe,Estonia,Tallinn
Europe,Finland,Helsinki
Europe,France,Paris
Europe,Georgia,Tbilisi
Europe,Germany,Berlin
Europe,Greece,Athens
Europe,Hungary,Budapest
Europe,Iceland,Reykjavik
Europe,Ireland,Dublin
Europe,Italy,Rome
Europe,Kazakhstan,Nur-Sultan
Europe,Kosovo,Pristina
Europe,Latvia,Riga
Europe,Liechtenstein,Vaduz
Europe,Lithuania,Vilnius
Europe,Luxembourg,Luxembourg
Europe,Malta,Valletta
Europe,Moldova,Chisinau
Europe,Monaco,Monaco
Europe,Montenegro,Podgorica
Europe,Netherlands,Amsterdam
Europe,North Macedonia,Skopje
Europe,Norway,Oslo
Europe,Poland,Warsaw
Europe,Portugal,Lisbon
Europe,Romania,Bucharest
Europe,Russia,Moscow
Europe,San Marino,San Marino
Europe,Serbia,Belgrade
Europe,Slovakia,Bratislava
Europe,Slovenia,Ljubljana
Europe,Spain,Madrid
Europe,Sweden,Stockholm
Europe,Switzerland,Bern
Europe,Turkey,Ankara
Europe,Ukraine,Kyiv
Europe,United Kingdom,London
Europe,Vatican City,Vatican City
North America,Antigua and Barbuda,St. John's
North America,Bahamas,Nassau
North America,Barbados,Bridgetown
North America,Belize,Belmopan
North America,Canada,Ottawa
North America,Costa Rica,San Jose
North America,Cuba,Havana
North America,Dominica,Roseau
North America,Dominican Republic,Santo Domingo
North America,El Salvador,San Salvador
North America,Grenada,St. George's
North America,Guatemala,Guatemala City
North America,Haiti,Port-au-Prince
North America,Honduras,Tegucigalpa
North America,Jamaica,Kingston
North America,Mexico,Mexico City
North America,Nicaragua,Managua
North America,Panama,Panama City
North America,Saint Kitts and Nevis,Basseterre
North America,Saint Lucia,Castries
North America,Saint Vincent and the Grenadines,Kingstown
North America,Trinidad and Tobago,Port of Spain
North America,United States,"Washington, D.C."
South America,Argentina,Buenos Aires
South America,Bolivia,"Sucre (official), La Paz (seat of government)"
South America,Brazil,Brasília
South America,Chile,Santiago
South America,Colombia,Bogotá
South America,Ecuador,Quito
South America,Guyana,Georgetown
South America,Paraguay,Asunción
South America,Peru,Lima
South America,Suriname,Paramaribo
South America,Uruguay,Montevideo
South America,Venezuela,Caracas
